"台帳ID","管理対象ID","名称","棟名","文化財種類","種別1","種別2","国","時代","重文指定年月日","国宝指定年月日","都道府県","所在地","保管施設の名称","所有者名","管理団体又は責任者","緯度","経度"
"101","00010563","大多喜町役場中庁舎","","登録有形文化財(建造物)","官公庁舎","建築物","","昭和中","20150804","","千葉県","千葉県夷隅郡大多喜町大多喜93","","大多喜町","","35.28483000000000","140.24541700000000"
"101","00012505","大多和家住宅穀蔵","","登録有形文化財(建造物)","住宅","建築物","","江戸","20181102","","千葉県","千葉県長生郡白子町関字山中3881","","株式会社スリーピングトーキョー","","",""
"101","00012504","大多和家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","江戸","20181102","","千葉県","千葉県長生郡白子町関字山中3881","","株式会社スリーピングトーキョー","","",""
"101","00012506","大多和家住宅長屋門","","登録有形文化財(建造物)","住宅","建築物","","江戸","20181102","","千葉県","千葉県長生郡白子町関字山中3881","","株式会社スリーピングトーキョー","","",""
"101","00001181","大屋旅館","","登録有形文化財(建造物)","産業3次","建築物","","明治","19990708","","千葉県","千葉県夷隅郡大多喜町新丁64","","","","35.28292566000000","140.24733000000000"
"101","00010924","小高記念館","","登録有形文化財(建造物)","産業3次","建築物","","大正","20160225","","千葉県","千葉県館山市館山95-70","","","","34.98615300000000","139.85209500000000"
"101","00011644","小原家住宅表門","","登録有形文化財(建造物)","住宅","その他工作物","","明治","20170628","","千葉県","千葉県館山市南条字五反畑55-3","","","","34.98129800000000","139.87572611000000"
"101","00011643","小原家住宅旧長屋門","","登録有形文化財(建造物)","住宅","建築物","","江戸","20170628","","千葉県","千葉県館山市南条54","","","","34.98130200000000","139.87557900000000"
"101","00011641","小原家住宅米蔵","","登録有形文化財(建造物)","住宅","建築物","","江戸","20170628","","千葉県","千葉県館山市南条54","","","","34.98143000000000","139.87547000000000"
"101","00011639","小原家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","江戸","20170628","","千葉県","千葉県館山市南条54","","","","34.98154900000000","139.87568000000000"
"101","00011640","小原家住宅離れ","","登録有形文化財(建造物)","住宅","建築物","","昭和前","20170628","","千葉県","千葉県館山市南条54","","","","34.98137500000000","139.87589200000000"
"101","00011642","小原家住宅文庫蔵","","登録有形文化財(建造物)","住宅","建築物","","昭和前","20170628","","千葉県","千葉県館山市南条54","","","","34.98156700000000","139.87549000000000"
"101","00006977","懐石あた后店舗（旧茂木房五郎家住宅居住棟）","","登録有形文化財(建造物)","住宅","建築物","","昭和前","20080307","","千葉県","千葉県野田市野田字愛后裏740-2","","有限会社小室","","35.95084800000000","139.86366300000000"
"101","00006793","懐石あた后土蔵（旧茂木房五郎家住宅土蔵）","","登録有形文化財(建造物)","住宅","建築物","","昭和前","20080307","","千葉県","千葉県野田市野田字愛后裏740-2","","有限会社小室","","35.95086700000000","139.86377000000000"
"101","00001492","香雲閣","","登録有形文化財(建造物)","宗教","建築物","","明治","20000215","","千葉県","千葉県香取市香取1697-1","","宗教法人香取神宮","","35.88733452000000","140.52951259000000"
"101","00007458","鶴泉堂菓子店石倉庫","","登録有形文化財(建造物)","産業2次","建築物","","大正","20090108","","千葉県","千葉県匝瑳市八日市場イ2871","","","","35.70090410000000","140.54844528000000"
"101","00007457","鶴泉堂菓子店店舗兼主屋","","登録有形文化財(建造物)","産業2次","建築物","","昭和前","20090108","","千葉県","千葉県匝瑳市八日市場イ2871","","","","35.70112928000000","140.54845652000000"
"101","00003387","加藤家住宅（茂原牡丹園）主屋","","登録有形文化財(建造物)","住宅","建築物","","江戸","20030701","","千葉県","千葉県茂原市山崎210","","","","35.44059169000000","140.26828561000000"
"101","00003388","加藤家住宅（茂原牡丹園）長屋門","","登録有形文化財(建造物)","住宅","建築物","","江戸","20030701","","千葉県","千葉県茂原市山崎210","","","","35.44036810000000","140.26840884000000"
"101","00009258","加藤家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","明治","20120813","","千葉県","千葉県富津市笹毛字北舷1","","","","35.24844240000000","139.86893951000000"
"101","00008097","加藤家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","明治","20100428","","千葉県","千葉県市川市本行徳6-1","","","","35.69114213000000","139.91607311000000"
"101","00008098","加藤家住宅煉瓦塀","","登録有形文化財(建造物)","住宅","その他工作物","","明治","20100428","","千葉県","千葉県市川市本行徳6-1","","","","35.69117077000000","139.91617832000000"
"101","00002134","香取神宮拝殿・幣殿・神饌所","","登録有形文化財(建造物)","宗教","建築物","","昭和前","20010424","","千葉県","千葉県香取市香取1697-1","","宗教法人香取神宮","","35.88609531000000","140.52871628000000"
"101","00013231","川豊本店店舗","","登録有形文化財(建造物)","産業3次","建築物","","明治","20200403","","千葉県","千葉県成田市仲町386-1","","有限会社川豊","","35.78340278000000","140.31672222000000"
"101","00001345","木内家住宅旧蔵","","登録有形文化財(建造物)","住宅","建築物","","昭和前","19991014","","千葉県","千葉県香取郡多古町多古2613","","","","35.73790635000000","140.46581690000000"
